iter	Passed	Remaining
756	948	304
757	949	303
758	950	301
759	951	300
760	953	299
761	954	298
762	955	296
763	956	295
764	958	294
765	959	293
766	960	291
767	961	290
768	962	289
769	963	287
770	964	286
771	965	285
772	967	283
773	968	282
774	969	281
775	970	280
776	972	279
777	973	277
778	974	276
779	975	275
780	976	273
781	977	272
782	978	271
783	980	270
784	981	268
785	983	267
786	984	266
787	985	265
788	986	263
789	987	262
790	988	261
791	991	260
792	992	258
793	993	257
794	994	256
795	995	255
796	997	253
797	998	252
798	999	251
799	1001	250
800	1002	249
801	1003	247
802	1004	246
803	1006	245
804	1009	244
805	1010	243
806	1011	241
807	1012	240
808	1013	239
809	1014	237
810	1015	236
811	1016	235
812	1017	233
813	1018	232
814	1019	231
815	1020	230
816	1021	228
817	1022	227
818	1023	226
819	1024	224
820	1025	223
821	1026	222
822	1028	221
823	1029	219
824	1030	218
825	1031	217
826	1032	215
827	1033	214
828	1034	213
829	1035	212
830	1036	210
831	1037	209
832	1038	208
833	1040	207
834	1041	205
835	1042	204
836	1043	203
837	1044	201
838	1046	200
839	1047	199
840	1049	198
841	1050	197
842	1051	195
843	1052	194
844	1053	193
845	1055	192
846	1056	190
847	1058	189
848	1059	188
849	1060	187
850	1062	185
851	1063	184
852	1064	183
853	1066	182
854	1067	180
855	1069	179
856	1070	178
857	1072	177
858	1073	176
859	1074	174
860	1075	173
861	1077	172
862	1078	171
863	1079	169
864	1081	168
865	1082	167
866	1083	166
867	1084	164
868	1085	163
869	1086	162
870	1088	161
871	1091	160
872	1092	159
873	1094	157
874	1096	156
875	1097	155
876	1098	154
877	1099	152
878	1100	151
879	1101	150
880	1102	148
881	1105	147
882	1107	146
883	1109	145
884	1111	144
885	1113	143
886	1115	142
887	1118	141
888	1120	139
889	1121	138
890	1122	137
891	1124	136
892	1125	134
893	1126	133
894	1127	132
895	1129	131
896	1132	130
897	1133	128
898	1134	127
899	1135	126
900	1136	124
901	1138	123
902	1139	122
903	1140	121
904	1142	119
905	1143	118
906	1144	117
907	1146	116
908	1147	114
909	1148	113
910	1149	112
911	1150	111
912	1151	109
913	1152	108
914	1153	107
915	1155	105
916	1156	104
917	1158	103
918	1159	102
919	1161	100
920	1162	99
921	1163	98
922	1164	97
923	1165	95
924	1166	94
925	1167	93
